"make","model","avg_price"
"Ferrari","458 Italia","183000.000"
"Mercedes-Benz","SLS AMG GT","156500.000"
"BMW","i8","154222.222"
"Bentley","Flying Spur","154000.000"
"Rolls-Royce","Ghost","153488.235"
"Ferrari","California","131846.154"
"Mercedes-Benz","SLS AMG","116016.667"
"Lamborghini","Gallardo","112625.000"
"Bentley","Continental GTC Speed","111000.000"
"Ferrari","F430","109750.000"
"Bentley","Continental Flying Spur Speed","105750.000"
"Audi","RS 7","102225.000"
"Bentley","Continental Supersports","101000.000"
"Aston Martin","Rapide","98750.000"
"BMW","M6 Gran Coupe","91843.333"
"Audi","R8","89725.000"
"Bentley","Continental GTC","89380.303"
"Mercedes-Benz","G-Class","82400.000"
"Ferrari","360","81000.000"
"Bentley","Continental GT Speed","79750.000"
